N	19.13886369	7.057004165	0.808706719	8.309304471	3.152676361	1.968695128	1.844239071	3.827481871	7.619058015	4.947530115
N	9.049156027	8.313508712	2.323361877	10.81704623	8.24923273	1.104729772	1.77827299	5.784277217	7.309167122	6.428700888
N	13.69871132	9.050812431	2.713411754	12.08209146	8.393131439	1.529323261	1.797069723	4.231516813	6.17763825	14.39039273
N	3.963657828	5.979754919	0.607210773	8.276856872	4.971965997	5.053601353	3.52838075	2.205070582	8.426286968	6.321788549
R	0.400440062	13.47039919	3.541135576	10.68408544	4.032096714	5.837482141	1.911533009	1.302775849	11.05622242	8.367988059
R	1.766671769	8.597007608	3.393360179	8.646938775	8.962655229	5.452791537	1.900899043	0.433297804	5.243475615	11.64386385
R	0.564373802	11.47378001	2.648079544	10.63758653	1.926081579	5.909800532	1.409416088	0.95835044	4.677706544	7.498581761
N	12.50692746	7.209604738	2.574884047	8.832380427	4.575675022	1.161435307	3.324931099	5.781774537	6.175729142	1.328059779
N	16.26280305	8.766458776	2.501836804	10.70678137	7.985346414	0.976514092	2.502117939	6.031895492	6.291248093	6.848891178
N	10.27205327	5.179259004	1.119489986	8.465121728	4.745574815	0.397408282	1.664442729	5.101287001	7.145664609	2.757497705
N	16.23997812	11.50371592	2.76588058	10.42267218	6.822408612	1.046974557	1.67791528	5.438952438	7.43368919	13.50845962
N	4.861802323	8.965443037	2.224453587	10.7588274	5.105421639	1.109085925	2.366798471	4.117642368	5.680991222	0.685305072
R	1.784944147	9.046715877	2.511263645	8.90161942	7.5120655	5.468111459	2.224970802	2.608346993	7.515926005	16.00595876
N	9.495890086	9.512424204	1.16038072	10.02936006	9.146470237	0.052196232	1.856611381	4.17582477	4.699309986	3.895176766
N	10.43057229	5.651855316	3.873453975	9.364108868	8.547578942	0.173964226	2.432275231	4.978220376	8.359703185	6.0748263
R	0.737408113	8.682787457	3.180686003	10.52428618	3.001083461	5.978929223	2.03136331	1.865584555	6.880045269	6.835678031
R	2.04863101	8.192348281	4.076795267	11.83842286	9.734908767	6.184512369	2.925498354	3.165129754	8.644682249	15.02201139
N	11.89483394	10.33625271	3.156396747	9.477054631	10.47017913	0.031540022	2.561308747	5.533615739	7.562329206	1.167630403
R	4.098548754	6.30105131	3.435082569	9.742294102	6.117710517	5.946073294	2.213112482	1.447565205	7.541482052	10.97685828
